WARNING 2016-06-10 10:39:04,540 base 99231 123145310715904 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /
WARNING 2016-06-10 10:39:10,341 base 99231 123145319129088 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/jquery/ui/css/custom-theme/jquery-ui-1.10.3.custom.min.css
WARNING 2016-06-10 10:39:10,344 base 99231 123145323335680 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/stylesheets/screen.css
WARNING 2016-06-10 10:39:10,348 base 99231 123145310715904 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/stylesheets/mueller/grid/output.css
WARNING 2016-06-10 10:39:10,350 base 99231 123145314922496 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/jquery/jquery-1.9.1.min.js
WARNING 2016-06-10 10:39:10,356 base 99231 123145327542272 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/jquery/ui/js/jquery-ui-1.10.3.custom.min.js
WARNING 2016-06-10 10:39:10,361 base 99231 123145319129088 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/js/grappelli.min.js
WARNING 2016-06-10 10:39:10,681 base 99231 123145314922496 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/jquery/ui/css/custom-theme/jquery-ui-1.10.3.custom.min.css
WARNING 2016-06-10 10:39:10,684 base 99231 123145319129088 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/stylesheets/screen.css
WARNING 2016-06-10 10:39:10,687 base 99231 123145327542272 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/jquery/jquery-1.9.1.min.js
WARNING 2016-06-10 10:39:10,689 base 99231 123145323335680 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/stylesheets/mueller/grid/output.css
WARNING 2016-06-10 10:39:10,691 base 99231 123145310715904 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/jquery/ui/js/jquery-ui-1.10.3.custom.min.js
WARNING 2016-06-10 10:39:10,695 base 99231 123145314922496 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/js/grappelli.min.js
WARNING 2016-06-10 10:39:15,617 base 99231 123145314922496 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/jquery/ui/css/custom-theme/jquery-ui-1.10.3.custom.min.css
WARNING 2016-06-10 10:39:15,621 base 99231 123145319129088 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/stylesheets/screen.css
WARNING 2016-06-10 10:39:15,624 base 99231 123145323335680 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/stylesheets/mueller/grid/output.css
WARNING 2016-06-10 10:39:15,626 base 99231 123145327542272 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/jquery/jquery-1.9.1.min.js
WARNING 2016-06-10 10:39:15,628 base 99231 123145331748864 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/jquery/ui/js/jquery-ui-1.10.3.custom.min.js
WARNING 2016-06-10 10:39:15,633 base 99231 123145310715904 /Users/tao-xu/.virtualenvs/test_vcenter/lib/python2.7/site-packages/django/core/handlers/base.py 145 get_response Not Found: /static/grappelli/js/grappelli.min.js
